Date,Open,High,Low,Close,Adj Close,Volume
2022-09-21,251.500000,253.000000,248.000000,249.000000,249.000000,3827277
2022-09-22,245.000000,247.000000,242.000000,246.500000,246.500000,3753760
2022-09-23,245.000000,248.000000,244.000000,246.000000,246.000000,1354725
2022-09-26,242.500000,244.000000,238.000000,238.500000,238.500000,3547081
2022-09-27,240.500000,246.000000,240.000000,242.000000,242.000000,2263808
2022-09-28,241.500000,243.500000,236.000000,237.500000,237.500000,3529469
2022-09-29,242.000000,242.000000,236.000000,237.500000,237.500000,2299385
2022-09-30,235.000000,235.000000,231.500000,234.000000,234.000000,3673706
2022-10-03,228.500000,235.500000,228.500000,234.000000,234.000000,1778566
2022-10-04,235.000000,241.500000,234.500000,240.000000,240.000000,2900981
2022-10-05,242.500000,247.000000,242.000000,244.000000,244.000000,2698259
2022-10-06,243.500000,246.500000,241.000000,244.000000,244.000000,2737741
2022-10-07,241.500000,242.500000,230.500000,231.000000,231.000000,5022531
2022-10-11,227.000000,227.000000,223.500000,225.000000,225.000000,4644397
2022-10-12,228.500000,233.000000,226.500000,231.500000,231.500000,2619699
2022-10-13,229.500000,232.000000,228.500000,231.000000,231.000000,2123526
2022-10-14,235.000000,235.000000,231.000000,231.000000,231.000000,1878290
2022-10-17,227.500000,233.000000,227.500000,232.000000,232.000000,2979280
2022-10-18,234.500000,238.000000,232.000000,236.500000,236.500000,3449762
2022-10-19,235.500000,240.000000,234.000000,239.000000,239.000000,3190077
2022-10-20,235.000000,236.000000,230.000000,232.000000,232.000000,5097867
2022-10-21,232.000000,232.500000,228.000000,229.000000,229.000000,2231002
2022-10-24,231.000000,232.000000,229.000000,231.000000,231.000000,2004819
2022-10-25,233.000000,234.000000,230.500000,231.500000,231.500000,2131768
2022-10-26,234.000000,236.000000,231.500000,235.500000,235.500000,2372268
2022-10-27,237.000000,238.000000,232.500000,233.000000,233.000000,2252329
2022-10-28,233.000000,235.000000,232.000000,234.000000,234.000000,1411735
2022-10-31,235.500000,237.500000,234.500000,236.000000,236.000000,1701895
2022-11-01,236.000000,237.000000,234.500000,236.000000,236.000000,1168324
2022-11-02,233.000000,238.000000,233.000000,237.500000,237.500000,1746572
2022-11-03,235.000000,236.000000,232.500000,235.500000,235.500000,2057332
2022-11-04,233.000000,235.000000,229.500000,234.500000,234.500000,3350084
2022-11-07,236.500000,238.000000,234.000000,237.500000,237.500000,2520438
2022-11-08,239.500000,242.000000,239.000000,242.000000,242.000000,2253292
2022-11-09,243.500000,245.500000,242.000000,244.500000,244.500000,2270501
2022-11-10,241.000000,242.500000,240.000000,241.000000,241.000000,1357114
2022-11-11,248.000000,251.000000,244.500000,249.000000,249.000000,4038100
2022-11-14,250.000000,250.500000,247.500000,248.000000,248.000000,2539169
2022-11-15,248.000000,252.500000,247.000000,252.000000,252.000000,2251264
2022-11-16,251.500000,254.000000,250.500000,252.000000,252.000000,2212947
2022-11-17,252.000000,254.500000,250.000000,254.000000,254.000000,2113641
2022-11-18,253.000000,256.000000,252.000000,256.000000,256.000000,1909648
2022-11-21,257.000000,259.000000,254.000000,258.000000,258.000000,3068898
2022-11-22,259.000000,261.500000,255.000000,261.000000,261.000000,4098891
2022-11-23,261.500000,267.000000,260.500000,265.000000,265.000000,4050592
2022-11-24,267.000000,270.000000,266.000000,267.500000,267.500000,3832600
2022-11-25,270.000000,271.500000,265.000000,265.000000,265.000000,4341984
2022-11-28,263.000000,270.000000,259.000000,265.500000,265.500000,4286710
2022-11-29,266.000000,270.000000,264.000000,267.000000,267.000000,3831666
2022-11-30,267.000000,269.000000,265.500000,266.000000,266.000000,3737332
2022-12-01,270.000000,273.500000,267.000000,271.500000,271.500000,2959974
2022-12-02,273.000000,277.000000,271.000000,277.000000,277.000000,3374701
2022-12-05,276.500000,283.000000,275.000000,283.000000,283.000000,2739074
2022-12-06,281.500000,281.500000,275.500000,277.500000,277.500000,2536507
2022-12-07,275.000000,275.500000,271.500000,272.000000,272.000000,2839777
2022-12-08,272.000000,274.000000,266.000000,268.000000,268.000000,2274131
2022-12-09,269.500000,270.000000,266.000000,268.500000,268.500000,1820020
2022-12-12,266.000000,273.000000,262.000000,273.000000,273.000000,2190315
2022-12-13,271.000000,271.500000,266.500000,267.500000,267.500000,2362664
2022-12-14,270.500000,273.500000,269.500000,273.000000,273.000000,2135675
2022-12-15,272.000000,272.500000,266.500000,267.000000,267.000000,2059854
2022-12-16,264.000000,267.000000,262.000000,265.500000,265.500000,7575178
2022-12-19,263.000000,267.000000,261.500000,264.000000,264.000000,6579923
2022-12-20,267.000000,271.000000,266.000000,269.000000,269.000000,8683270
2022-12-21,269.000000,269.000000,263.500000,266.000000,266.000000,6662926
2022-12-22,270.500000,278.000000,269.000000,275.500000,275.500000,6243523
2022-12-23,272.000000,273.000000,270.000000,271.000000,271.000000,1378476
2022-12-26,272.000000,273.000000,271.000000,272.000000,272.000000,720666
2022-12-27,272.500000,273.500000,270.000000,270.000000,270.000000,732611
2022-12-28,268.000000,270.000000,268.000000,269.000000,269.000000,1072591
2022-12-29,267.500000,270.500000,264.500000,269.000000,269.000000,1437408
2022-12-30,270.000000,270.000000,268.500000,268.500000,268.500000,773245
2023-01-03,267.000000,271.000000,266.000000,270.000000,270.000000,1049876
2023-01-04,271.500000,271.500000,268.500000,268.500000,268.500000,749417
2023-01-05,271.000000,275.000000,271.000000,271.000000,271.000000,1159580
2023-01-06,272.000000,273.000000,270.000000,271.500000,271.500000,625059
2023-01-09,273.500000,275.500000,272.500000,275.000000,275.000000,1470961
2023-01-10,274.000000,274.000000,269.500000,269.500000,269.500000,2029005
2023-01-11,270.500000,271.500000,269.000000,269.000000,269.000000,1517495
2023-01-12,270.000000,270.500000,263.500000,265.000000,265.000000,1623230
2023-01-13,267.500000,268.500000,265.500000,268.000000,268.000000,1084218
2023-01-16,269.000000,271.000000,268.000000,269.000000,269.000000,1012253
2023-01-17,270.000000,270.500000,268.000000,268.000000,268.000000,1332228
2023-01-30,275.000000,280.000000,273.500000,280.000000,280.000000,4377859
2023-01-31,280.000000,280.500000,271.500000,272.000000,272.000000,2874085
2023-02-01,274.500000,276.000000,272.500000,275.000000,275.000000,1138611
2023-02-02,277.000000,279.000000,275.000000,278.500000,278.500000,1549278
2023-02-03,278.000000,279.000000,275.500000,278.000000,278.000000,1319831
2023-02-06,274.500000,279.000000,274.000000,276.000000,276.000000,1842049
2023-02-07,276.000000,279.000000,275.000000,278.000000,278.000000,1745157
2023-02-08,278.000000,279.500000,276.500000,277.500000,277.500000,1808530
2023-02-09,276.500000,277.500000,276.000000,276.000000,276.000000,1248637
2023-02-10,273.500000,274.000000,270.000000,270.000000,270.000000,2794347
2023-02-13,270.500000,275.000000,270.000000,274.500000,274.500000,1572918
2023-02-14,276.500000,278.000000,276.000000,276.500000,276.500000,1141089
2023-02-15,277.500000,277.500000,275.500000,276.000000,276.000000,1211934
2023-02-16,277.500000,280.000000,277.500000,278.000000,278.000000,1841756
2023-02-17,279.500000,280.000000,277.500000,279.500000,279.500000,911274
2023-02-20,279.500000,279.500000,278.000000,278.000000,278.000000,635792
2023-02-21,278.500000,279.500000,277.000000,279.500000,279.500000,717133
2023-02-22,278.500000,281.000000,277.500000,279.500000,279.500000,1329982
2023-02-23,281.000000,282.000000,279.500000,280.500000,280.500000,1539817
2023-02-24,282.000000,282.000000,278.000000,278.000000,278.000000,2513475
2023-03-01,277.000000,279.000000,275.000000,276.000000,276.000000,1981370
2023-03-02,277.500000,282.000000,276.500000,281.000000,281.000000,1567509
2023-03-03,282.500000,284.500000,282.000000,284.000000,284.000000,1155317
2023-03-06,286.500000,288.000000,285.000000,286.500000,286.500000,1401276
2023-03-07,287.000000,290.000000,286.500000,289.500000,289.500000,1354127
2023-03-08,289.000000,289.000000,286.000000,287.500000,287.500000,1419465
2023-03-09,287.000000,287.500000,284.000000,285.500000,285.500000,1821629
2023-03-10,285.000000,293.000000,285.000000,293.000000,293.000000,4121558
2023-03-13,268.000000,271.500000,264.500000,266.000000,266.000000,8521919
2023-03-14,264.000000,264.000000,260.500000,261.000000,261.000000,4961936
2023-03-15,262.000000,264.000000,261.000000,261.500000,261.500000,2459167
2023-03-16,260.500000,264.500000,260.500000,263.000000,263.000000,1999583
2023-03-17,264.500000,271.000000,263.000000,271.000000,271.000000,4356986
2023-03-20,270.000000,270.000000,265.000000,266.000000,266.000000,1781967
2023-03-21,267.500000,268.500000,267.000000,268.500000,268.500000,1333391
2023-03-22,268.500000,269.000000,267.000000,269.000000,269.000000,2237987
2023-03-23,269.000000,271.000000,267.500000,269.500000,269.500000,1723042
2023-03-24,270.000000,271.000000,268.000000,270.000000,270.000000,1292558
2023-03-27,270.500000,271.000000,269.500000,269.500000,269.500000,1031301
2023-03-28,269.000000,271.000000,267.500000,268.500000,268.500000,1075834
2023-03-29,270.000000,271.500000,270.000000,271.500000,271.500000,1071759
2023-03-30,271.500000,273.000000,270.500000,272.500000,272.500000,1197882
2023-03-31,273.500000,275.000000,271.000000,272.500000,272.500000,1681760
2023-04-06,269.500000,270.500000,268.500000,270.500000,270.500000,1635045
2023-04-07,271.500000,272.000000,270.000000,270.000000,270.000000,580249
2023-04-10,271.500000,272.000000,270.000000,271.000000,271.000000,554168
2023-04-11,271.000000,274.500000,270.500000,273.500000,273.500000,1344270
2023-04-12,276.000000,280.000000,275.500000,278.500000,278.500000,1984283
2023-04-13,279.500000,280.000000,275.500000,275.500000,275.500000,1700179
2023-04-14,278.500000,278.500000,275.500000,277.500000,277.500000,1057529
2023-04-17,278.500000,281.000000,278.000000,281.000000,281.000000,1593935
2023-04-18,281.500000,282.000000,277.000000,278.500000,278.500000,1164264
2023-04-19,279.000000,281.000000,278.000000,278.500000,278.500000,1535742
2023-04-20,279.500000,279.500000,275.500000,276.500000,276.500000,1069423
2023-04-21,279.000000,280.500000,275.000000,276.000000,276.000000,1964635
2023-04-24,278.000000,279.000000,276.000000,278.500000,278.500000,2055511
2023-04-25,280.000000,280.000000,276.000000,278.000000,278.000000,2373820
2023-04-26,275.500000,277.000000,272.000000,275.500000,275.500000,2510619
2023-04-27,275.500000,280.000000,274.500000,280.000000,280.000000,2542742
2023-04-28,282.000000,282.500000,279.000000,282.500000,282.500000,1819282
2023-05-02,283.000000,287.000000,282.000000,286.000000,286.000000,1551112
2023-05-03,287.000000,288.000000,285.500000,287.500000,287.500000,1650072
2023-05-04,287.000000,292.000000,286.500000,292.000000,292.000000,2559015
2023-05-05,291.500000,291.500000,286.000000,289.000000,289.000000,1764678
2023-05-08,289.000000,290.500000,288.000000,288.500000,288.500000,1065796
2023-05-09,289.500000,293.000000,289.000000,292.000000,292.000000,1815198
2023-05-10,290.500000,292.000000,287.500000,291.500000,291.500000,1439542
2023-05-11,291.500000,291.500000,286.500000,286.500000,286.500000,1175908
2023-05-12,286.000000,287.000000,280.500000,281.500000,281.500000,2005860
2023-05-15,304.500000,309.000000,297.500000,303.500000,303.500000,8964265
2023-05-16,303.000000,305.500000,299.000000,303.500000,303.500000,3435551
2023-05-17,302.500000,305.000000,302.000000,303.500000,303.500000,3178876
2023-05-18,304.500000,310.000000,303.000000,308.000000,308.000000,3951572
2023-05-19,306.000000,309.500000,305.000000,308.000000,308.000000,2310376
2023-05-22,307.500000,308.000000,303.500000,306.500000,306.500000,1566021
2023-05-23,307.500000,309.000000,306.500000,307.000000,307.000000,2733317
2023-05-24,307.000000,308.000000,304.500000,308.000000,308.000000,1968672
2023-05-25,307.000000,308.500000,304.000000,304.500000,304.500000,2274919
2023-05-26,304.500000,309.000000,304.000000,308.500000,308.500000,2264914
2023-05-29,309.500000,312.000000,303.500000,303.500000,303.500000,1933322
2023-05-30,307.500000,307.500000,303.500000,304.000000,304.000000,2249903
2023-05-31,304.000000,307.000000,303.000000,305.000000,305.000000,5463981
2023-06-01,304.000000,307.000000,301.500000,306.000000,306.000000,1146140
2023-06-02,306.000000,316.000000,305.500000,315.000000,315.000000,4300118
2023-06-05,315.000000,315.500000,312.500000,313.500000,313.500000,2317070
2023-06-06,312.500000,315.000000,311.000000,313.000000,313.000000,1811580
2023-06-07,313.000000,316.000000,313.000000,314.500000,314.500000,1236970
2023-06-08,313.000000,316.500000,312.000000,314.000000,314.000000,1698649
2023-06-09,316.500000,316.500000,314.000000,315.000000,315.000000,1426649
2023-06-12,316.000000,325.000000,316.000000,324.500000,324.500000,3596154
2023-06-13,328.000000,328.000000,319.000000,320.000000,320.000000,2205345
